#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
-20.0,1,0.618166
-7.76808,3,0.618275
-20.0,1,0.618712
-20.0,1,0.618749
-20.0,1,0.61878
-20.0,1,0.618831
-20.0,1,0.619262
-20.0,1,0.619299
-19.9,2,0.619352
-20.0,1,0.619825
-20.0,1,0.61986
-20.0,1,0.61989
-20.0,1,0.61992
-20.0,1,0.620394
-20.0,1,0.620459
-20.0,1,0.620495
-20.0,1,0.620526
-20.0,1,0.620994
-20.0,1,0.621034
7.078062,3,0.621591
-20.0,1,0.621636
-19.8,3,0.622179
-20.0,1,0.62222
-20.0,1,0.622251
-20.0,1,0.62228
-20.0,1,0.62272
-20.0,1,0.622754
-20.0,1,0.622782
6.89976,3,0.623272
-20.0,1,0.623323
-20.0,1,0.623352
-20.0,1,0.623808
-20.0,1,0.623841
-19.8,3,0.62434
5.914655,3,0.624415
-20.0,1,0.624853
-20.0,1,0.624885
7.021368,3,0.625385
-20.0,1,0.625424
-20.0,1,0.625454
-20.0,1,0.625485
-20.0,1,0.625937
-20.0,1,0.625968
-20.0,1,0.625996
-20.0,1,0.626022
-20.0,1,0.626477
-19.8,3,0.626551
6.199015,3,0.627108
-20.0,1,0.627143
-20.0,1,0.627562
-20.0,1,0.6276
-20.0,1,0.627631
6.967542,3,0.628189
6.955016,3,0.628678
-20.0,1,0.62871
-20.0,1,0.628738
-20.0,1,0.628765
-20.0,1,0.629188
-20.0,1,0.629225
-20.0,1,0.629255
7.211279,3,0.629717
-20.0,1,0.62977
-20.0,1,0.6298
-20.0,1,0.630218
6.89668,3,0.630302
-20.0,1,0.630753
-20.0,1,0.630787
6.952124,3,0.631252
-20.0,1,0.6313
-20.0,1,0.631349
-20.0,1,0.631379
-20.0,1,0.631787
-20.0,1,0.631819
6.986726,3,0.632356
6.944084,3,0.632432
-20.0,1,0.632865
-20.0,1,0.632898
-20.0,1,0.632944
-20.0,1,0.632974
6.975993,3,0.633524
-19.9,2,0.633979
-20.0,1,0.634031
-19.8,3,0.634571
7.724493,3,0.634713
-20.0,1,0.635153
-20.0,1,0.635216
6.927342,3,0.635681
-20.0,1,0.635719
-20.0,1,0.635749
-20.0,1,0.6358
